"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login functionality","1","0","Login without credentials","0"
"0","","0","Login functionality","1","0","Login test","0"
"0","","0","Checkout process","2","0","Checkout","0"
"0","","0","Shopping cart","1","0","Empty cart","0"
"0","","0","Shopping cart","1","0","1 item cart","0"
"0","","0","Order completion","1","0","Complete order life","0"
"0","","0","Login functionality","1","0","Login locked","0"
"0","","0","Login functionality","1","0","Login wrong password","0"
"0","","0","Inventory management","2","0","Inventory access","0"
